player_rank,player,first_year,last_year,draft,team,league,games_played,games_started,rushing_attempts,total_yards,yards_per_attempt,rushing_td,yards_per_game
271,Kyle Orton,2005,2014,4-106,TOT,NFL,87,82,126,296,2.35,4,3.4
272,Donald Hollas,1991,1998,4-99,TOT,NFL,32,8,61,295,4.84,1,9.2
273,Jim Finks,1949,1955,12-116,PIT,NFL,79,66,118,294,2.49,12,3.7
274,Seneca Wallace,2005,2013,4-110,TOT,NFL,64,22,68,293,4.31,1,4.6
275,Bobby Thomason,1949,1957,1-7,TOT,NFL,85,44,94,290,3.09,6,3.4
276,Turk Schonert,1981,1989,9-242,TOT,NFL,72,12,73,288,3.95,4,4.0
277,Clyde LeForce,1947,1949,19-194,DET,NFL,32,5,59,287,4.86,1,9.0
278,Kurt Warner,1998,2009,,TOT,NFL,124,116,173,286,1.65,3,2.3
279,Jeff Driskel,2018,2019,6-207,TOT,NFL,12,8,47,281,5.98,3,23.4
280,Bob Waters,1960,1963,7-83,SFO,NFL,30,2,65,281,4.32,3,9.4
281,Stoney Case,1995,2000,3-80,TOT,NFL,20,6,60,270,4.50,5,13.5
282,Brett Hundley,2016,2019,5-147,TOT,NFL,16,9,39,268,6.87,2,16.8
283,Brock Osweiler,2012,2018,2-57,TOT,NFL,49,30,92,266,2.89,4,5.4
284,Mickey Slaughter,1963,1966,7-50 7-50AFL,DEN,AFL,40,19,70,266,3.80,1,6.7
285,Bernie Kosar,1985,1996,1-1,TOT,NFL,126,108,180,265,1.47,5,2.1
286,Jack Thompson,1979,1984,1-3,TOT,NFL,51,21,70,262,3.74,6,5.1
287,Hugh Millen,1987,1995,3-71,TOT,NFL,40,25,65,260,4.00,1,6.5
288,Johnny Manziel,2014,2015,1-22,CLE,NFL,15,8,46,259,5.63,1,17.3
289,Steve Spurrier,1967,1976,1-3,TOT,NFL,106,38,61,258,4.23,2,2.4
290,Steve Bono,1985,1999,6-142,TOT,NFL,88,42,125,257,2.06,7,2.9
291,Ed Rutkowski,1963,1968,,BUF,AFL,83,3,69,250,3.62,1,3.0
292,Bruce Mathison,1983,1987,10-272,TOT,NFL,18,9,34,245,7.21,1,13.6
293,Roy Zimmerman,1940,1948,7-58,TOT,NFL,84,49,200,244,1.22,6,2.9
294,Gardner Minshew,2019,2019,6-178,JAX,NFL,10,8,44,243,5.52,0,24.3
295,Bob Celeri,1951,1952,10-127,TOT,NFL,19,12,53,242,4.57,0,12.7
296,David Whitehurst,1977,1983,8-206,GNB,NFL,54,37,77,242,3.14,7,4.5
297,Daniel Jones,2019,2019,1-6,NYG,NFL,11,10,39,241,6.18,2,21.9
298,Steve Bartkowski,1975,1986,1-1,TOT,NFL,129,127,178,239,1.34,11,1.9
299,Gary Kubiak,1983,1991,8-197,DEN,NFL,119,5,65,238,3.66,2,2.0
300,Oliver Luck,1983,1986,2-44,OTI,NFL,20,9,44,237,5.39,1,11.9
301,Mike Micka,1944,1948,1-8,TOT,NFL,54,21,69,231,3.35,0,4.3
302,Troy Smith,2007,2010,5-174,TOT,NFL,20,8,52,230,4.42,3,11.5
303,Boley Dancewicz,1946,1948,1-1,BYK,NFL,23,2,65,229,3.52,2,10.0
304,Kevin Kolb,2007,2012,2-36,TOT,NFL,34,21,69,229,3.32,2,6.7
305,Kellen Clemens,2006,2017,2-49,TOT,NFL,64,21,85,227,2.67,3,3.5
306,Derek Anderson,2006,2018,6-213,TOT,NFL,78,49,102,226,2.22,5,2.9
307,Bob Avellini,1975,1984,6-135,CHI,NFL,73,50,104,225,2.16,5,3.1
308,Bucky Richardson,1992,1994,8-220,OTI,NFL,16,4,33,225,6.82,1,14.1
309,Mike Boryla,1974,1978,4-87,TOT,NFL,23,19,43,224,5.21,2,9.7
310,Anthony Wright,2000,2007,,TOT,NFL,31,19,80,221,2.76,0,7.1
311,Drew Stanton,2008,2017,2-43,TOT,NFL,38,17,80,220,2.75,2,5.8
312,Abe Karnofsky,1945,1946,,TOT,NFL,19,9,77,218,2.83,3,11.5
313,Jacky Lee,1960,1969,6-61,TOT,AFL,100,23,72,218,3.03,3,2.2
314,Cody Carlson,1988,1994,3-64,OTI,NFL,45,19,81,217,2.68,4,4.8
315,Erik Kramer,1987,1999,,TOT,NFL,83,67,153,217,1.42,5,2.6
316,Andre Ware,1990,1993,1-7,DET,NFL,14,6,38,217,5.71,0,15.5
317,Baker Mayfield,2018,2019,1-1,CLE,NFL,26,25,57,215,3.77,2,8.3
